No,Action,D3FEND Tactic,D3FEND Technique,D3FEND Technique Level 0,D3FEND Technique Level 1,Definition
24,D3-EDL - Executable Denylisting,Isolate,,Executable Denylisting,,Blocking the execution of files on a host in accordance with defined application policy rules.
25,D3-HBPI - Hardware-based Process Isolation,Isolate,,Hardware-based Process Isolation,,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
26,D3-PSA - Process Spawn Analysis,Detect,,Process Spawn Analysis,,Analyzing spawn arguments or attributes of a process to detect processes that are unauthorized.
27,D3-SCA - System Call Analysis,Detect,,System Call Analysis,,Analyzing system calls to determine whether a process is exhibiting unauthorized behavior.
28,D3-SCF - System Call Filtering,Isolate,,System Call Filtering,,Controlling access to local computer system resources with kernel-level capabilities.
29,D3-DI - Data Inventory,Model,,Data Inventory,,"Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture."
30,D3-RD - Restore Database,Restore,,Restore Database,,Restoring the data in a database.
31,D3-SCP - System Configuration Permissions,Harden,,System Configuration Permissions,,Restricting system configuration modifications to a specific user or group of users.
32,D3-AVE - Asset Vulnerability Enumeration,Model,,Asset Vulnerability Enumeration,,Asset vulnerability enumeration enriches inventory items with knowledge identifying their vulnerabilities.
33,D3-FBA - Firmware Behavior Analysis,Detect,,Firmware Behavior Analysis,,Analyzing the behavior of embedded code in firmware and looking for anomalous behavior and suspicious activity.
34,D3-FEMC - Firmware Embedded Monitoring Code,Detect,,Firmware Embedded Monitoring Code,,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
35,D3-FV - Firmware Verification,Detect,,Firmware Verification,,Cryptographically verifying firmware integrity.
36,D3-RS - Restore Software,Restore,,Restore Software,,Restoring software to a host.
37,D3-SU - Software Update,Harden,,Software Update,,Replacing old software on a computer system component.
38,D3-SWI - Software Inventory,Model,,Software Inventory,,Software inventorying identifies and records the software items in the organization's architecture.
39,D3-DA - Dynamic Analysis,Detect,,Dynamic Analysis,,"Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader."
40,D3-EFA - Emulated File Analysis,Detect,,Emulated File Analysis,,Emulating instructions in a file looking for specific patterns.
41,D3-SFA - System File Analysis,Detect,,,System File Analysis,"Monitoring system files such as authentication databases, configuration files, system logs, and system executables for modification or tampering."
42,D3-CAA - Connection Attempt Analysis,Detect,,Connection Attempt Analysis,,Analyzing failed connections in a network to detect unauthorized activity.
43,D3-ST - Session Termination,Evict,,Session Termination,,Forcefully end all active sessions associated with compromised accounts or devices.
44,D3-ABPI - Application-based Process Isolation,Isolate,,Application-based Process Isolation,,Application code which prevents its own subroutines from accessing intra-process / internal memory space.
45,D3-DTP - Domain Trust Policy,Isolate,,Domain Trust Policy,,Restricting inter-domain trust by modifying domain configuration.
46,D3-HR - Host Reboot,Evict,,,Host Reboot,Initiating a host's reboot sequence to terminate all running processes.
47,D3-HS - Host Shutdown,Evict,,Host Shutdown,,Initiating a host's shutdown sequence to terminate all running processes.
48,D3-KBPI - Kernel-based Process Isolation,Isolate,,Kernel-based Process Isolation,,Using kernel-level capabilities to isolate processes.
49,D3-PLA - Process Lineage Analysis,Detect,,,Process Lineage Analysis,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
50,D3-PS - Process Suspension,Evict,,Process Suspension,,Suspending a running process on a computer system.
51,D3-PSEP - Process Segment Execution Prevention,Harden,,Process Segment Execution Prevention,,Preventing execution of any address in a memory region other than the code segment.
52,D3-PSMD - Process Self-Modification Detection,Detect,,Process Self-Modification Detection,,"Detects processes that modify, change, or replace their own code at runtime."
53,D3-PT - Process Termination,Evict,,Process Termination,,Terminating a running application process on a computer system.
54,D3-SAOR - Segment Address Offset Randomization,Harden,,Segment Address Offset Randomization,,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
55,D3-WSAM - Web Session Access Mediation,Isolate,,,Web Session Access Mediation,"Web session access mediation secures user sessions in web applications by employing robust authentication and integrity validation, along with adaptive threat mitigation techniques, to ensure that access to web resources is authorized and protected from session-related attacks."
56,D3-SJA - Scheduled Job Analysis,Detect,,,Scheduled Job Analysis,"Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling."
57,D3-CI - Configuration Inventory,Model,,Configuration Inventory,,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.
58,D3-RC - Restore Configuration,Restore,,Restore Configuration,,Restoring an software configuration.
59,D3-SICA - System Init Config Analysis,Detect,,,System Init Config Analysis,Analysis of any system process startup configuration.
60,D3-DNSTA - DNS Traffic Analysis,Detect,,DNS Traffic Analysis,,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
61,D3-CA - Certificate Analysis,Detect,,Certificate Analysis,,"Analyzing Public Key Infrastructure certificates to detect if they have been misconfigured or spoofed using both network traffic, certificate fields and third-party logs."
62,D3-ANAA - Administrative Network Activity Analysis,Detect,,Administrative Network Activity Analysis,,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
63,D3-SDM - System Daemon Monitoring,Detect,,,System Daemon Monitoring,Tracking changes to the state or configuration of critical system level processes.
64,D3-MBT - Memory Boundary Tracking,Detect,,,Memory Boundary Tracking,Analyzing a call stack for return addresses which point to unexpected  memory locations.
65,D3-PCSV - Process Code Segment Verification,Detect,,Process Code Segment Verification,,"Comparing the ""text"" or ""code"" memory segments to a source of truth."
66,D3-HCI - Hardware Component Inventory,Model,,Hardware Component Inventory,,Hardware component inventorying identifies and records the hardware items in the organization's architecture.
67,D3-IDA - Input Device Analysis,Detect,,,Input Device Analysis,Operating system level mechanisms to prevent abusive input device exploitation.
68,D3-IOPR - IO Port Restriction,Isolate,,IO Port Restriction,,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
69,D3-SBV - Service Binary Verification,Detect,,,Service Binary Verification,Analyzing changes in service binary files by comparing to a source of truth.
70,D3-AEM - Application Exception Monitoring,Detect,,,Application Exception Monitoring,Monitoring the failures of system counters and timers.
71,D3-DNR - Decoy Network Resource,Deceive,,Decoy Network Resource,,Deploying a network resource for the purposes of deceiving an adversary.
72,D3-NRAM - Network Resource Access Mediation,Isolate,,Network Resource Access Mediation,,Control of access to organizational systems and services by users or processes over a network.
73,D3-OPM - Operational Process Monitoring,Detect,,Operational Process Monitoring,,Monitoring physical parameters and operator actions related to an operational environment.
74,D3-DNSAL - DNS Allowlisting,Isolate,,DNS Allowlisting,,Permitting only approved domains and their subdomains to be resolved.
75,D3-DNSDL - DNS Denylisting,Isolate,,DNS Denylisting,,"Blocking DNS Network Traffic based on criteria such as IP address, domain name, or DNS query type."
76,D3-FC - File Carving,Detect,,File Carving,,Identifying and extracting files from network application protocols through the use of network stream reassembly software.
77,D3-FRDDL - Forward Resolution Domain Denylisting,Isolate,,,Forward Resolution Domain Denylisting,Blocking a lookup based on the query's domain name value.
78,D3-RRID - Reverse Resolution IP Denylisting,Isolate,,,Reverse Resolution IP Denylisting,Blocking a reverse lookup based on the query's IP address value.
79,D3-FCA - File Creation Analysis,Detect,,,File Creation Analysis,Analyzing the properties of file create system call invocations.
80,D3-AA - Agent Authentication,Harden,Agent Authentication,,,
81,D3-AL - Account Locking,Evict,,Account Locking,,The process of temporarily disabling user accounts on a system or domain.
82,D3-AM - Access Modeling,Model,,Access Modeling,,"Access modeling captures and records the access permissions granted to identities (e.g., administrators, users, groups, systems) and optionally includes details on how these identities are stored, managed, and shared across systems."
83,D3-CDP - Change Default Password,Harden,,,Change Default Password,"Changing the default password means replacing the factory-set credentials with a strong, unique password before the device is deployed, preventing unauthorized access."
84,D3-DAM - Domain Account Monitoring,Detect,,Domain Account Monitoring,,Monitoring the existence of or changes to Domain User Accounts.
85,D3-LAM - Local Account Monitoring,Detect,,Local Account Monitoring,,Analyzing local user accounts to detect unauthorized activity.
86,D3-RUAA - Restore User Account Access,Restore,,Restore User Account Access,,Restoring a user account's access to resources.
87,D3-UAP - User Account Permissions,Isolate,,User Account Permissions,,Restricting a user account's access to resources.
88,D3-ULA - Unlock Account,Restore,,,Unlock Account,Restoring a user account's access to resources by unlocking a locked User Account.
89,D3-DE - Decoy Environment,Deceive,Decoy Environment,,,
90,D3-ANCI - Authentication Cache Invalidation,Evict,,Authentication Cache Invalidation,,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.
91,D3-CCSA - Credential Compromise Scope Analysis,Detect,,Credential Compromise Scope Analysis,,Determining which credentials may have been compromised by analyzing the user logon history of a particular system.
92,D3-CH - Credential Hardening,Harden,Credential Hardening,,,
93,D3-CR - Credential Revocation,Evict,,Credential Revocation,,Deleting a set of credentials permanently to prevent them from being used to authenticate.
94,D3-CRO - Credential Rotation,Harden,,Credential Rotation,,"Credential rotation is a security procedure in which authentication credentials, such as passwords, API keys, or certificates, are regularly changed or replaced to minimize the risk of unauthorized access."
95,D3-CTS - Credential Transmission Scoping,Isolate,,Credential Transmission Scoping,,Limiting the transmission of a credential to a scoped set of relying parties.
96,D3-DUC - Decoy User Credential,Deceive,,Decoy User Credential,,A Credential created for the purpose of deceiving an adversary.
97,D3-MFA - Multi-factor Authentication,Harden,,Multi-factor Authentication,,Requiring proof of two or more pieces of evidence in order to authenticate a user.
98,D3-RIC - Reissue Credential,Restore,,Reissue Credential,,Issue a new credential to a user which supercedes their old credential.
99,D3-ACH - Application Configuration Hardening,Harden,,Application Configuration Hardening,,Modifying an application's configuration to reduce its attack surface.
100,D3-DRA - Disable Remote Access,Harden,,,Disable Remote Access,Limiting access to a computing device which is not required through or from a non-organization-controlled network.
101,D3-EF - Email Filtering,Isolate,,,Email Filtering,Filtering incoming email traffic based on specific criteria.
102,D3-EHB - Endpoint Health Beacon,Detect,,,Endpoint Health Beacon,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised."
103,D3-ER - Email Removal,Evict,,,Email Removal,The email removal technique deletes email files from system storage.
104,D3-HD - Homoglyph Detection,Detect,,Homoglyph Detection,,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
105,D3-LLM - Logical Link Mapping,Model,,Logical Link Mapping,,Logical link mapping creates a model of existing or previous node-to-node connections using network-layer data or metadata.
106,D3-NNI - Network Node Inventory,Model,,Network Node Inventory,,"Network node inventorying identifies and records all the network nodes (hosts, routers, switches, firewalls, etc.) in the organization's architecture."
107,D3-PLM - Physical Link Mapping,Model,,Physical Link Mapping,,Physical link mapping identifies and models the link connectivity of the network devices within a physical network.
108,D3-RE - Restore Email,Restore,,,Restore Email,Restoring an email for an entity to access.
109,D3-RNA - Restore Network Access,Restore,,Restore Network Access,,Restoring a entity's access to a computer network.
110,D3-SMRA - Sender MTA Reputation Analysis,Detect,,Sender MTA Reputation Analysis,,Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
111,D3-SRA - Sender Reputation Analysis,Detect,,Sender Reputation Analysis,,Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
112,D3-VS - Video Surveillance,Detect,,Video Surveillance,,"Monitoring of physical areas via camera video feeds to deter, detect, and investigate unauthorized access and related security events."
113,D3-NTPM - Network Traffic Policy Mapping,Model,,Network Traffic Policy Mapping,,"Network traffic policy mapping identifies and models the allowed pathways of data at the network, transport, and/or application levels."
114,D3-TB - Token Binding,Harden,,Token Binding,,"Token binding is a security mechanism used to enhance the protection of tokens, such as cookies or OAuth tokens, by binding them to a specific connection."
115,D3-TBA - Token-based Authentication,Harden,,Token-based Authentication,,"Token-based authentication is an authentication protocol where users verify their identity in exchange for a unique access token. Users can then access the website, application, or resource for the life of the token without having to re-enter their credentials."
116,D3-ISVA - Inbound Session Volume Analysis,Detect,,Inbound Session Volume Analysis,,Analyzing inbound network session or connection attempt volume.
117,D3-ITF - Inbound Traffic Filtering,Isolate,,,Inbound Traffic Filtering,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
118,D3-SFCV - Stack Frame Canary Validation,Harden,,Stack Frame Canary Validation,,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
119,D3-SSC - Shadow Stack Comparisons,Detect,,Shadow Stack Comparisons,,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
120,D3-BA - Bootloader Authentication,Harden,,Bootloader Authentication,,Cryptographically authenticating the bootloader software before system boot.
121,D3-SFV - System Firmware Verification,Detect,,,System Firmware Verification,Cryptographically verifying installed system firmware integrity.
122,D3-USICA - User Session Init Config Analysis,Detect,,,User Session Init Config Analysis,Analyzing modifications to user session config files such as .bashrc or .bash_profile.
123,D3-RKD - Registry Key Deletion,Evict,,Registry Key Deletion,,Delete a registry key.
124,D3-SYSVA - System Vulnerability Assessment,Model,,System Vulnerability Assessment,,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
125,D3-DENCR - Disk Encryption,Harden,,Disk Encryption,,Encrypting a hard disk partition to prevent cleartext access to a file system.
126,D3-FFV - File Format Verification,Isolate,,,File Format Verification,Verifying that a file conforms to its expected format specifications
127,D3-IAA - Identifier Activity Analysis,Detect,,Identifier Activity Analysis,,Taking known malicious identifiers and determining if they are present in a system.
128,D3-UA - URL Analysis,Detect,,URL Analysis,,Determining if a URL is benign or malicious by analyzing the URL or its components.
129,D3-URA - URL Reputation Analysis,Detect,,,URL Reputation Analysis,Analyzing the reputation of a URL.
130,D3-CE - Credential Eviction,Evict,Credential Eviction,,,
131,D3-EI - Execution Isolation,Isolate,Execution Isolation,,,
132,D3-FAPA - File Access Pattern Analysis,Detect,,File Access Pattern Analysis,,Analyzing the files accessed by a process to identify unauthorized activity.
133,D3-FCOA - File Content Analysis,Detect,,File Content Analysis,,Employing a pattern matching algorithm to statically analyze the content of files.
134,D3-FHRA - File Hash Reputation Analysis,Detect,,,File Hash Reputation Analysis,Analyzing the reputation of a file hash.
135,D3-FRIDL - Forward Resolution IP Denylisting,Isolate,,,Forward Resolution IP Denylisting,Blocking a DNS lookup's answer's IP address value.
136,D3-NI - Network Isolation,Isolate,Network Isolation,,,
137,D3-NTA - Network Traffic Analysis,Detect,Network Traffic Analysis,,,
138,D3-PA - Process Analysis,Detect,Process Analysis,,,
139,D3-SEA - Script Execution Analysis,Detect,,Script Execution Analysis,,Analyzing the execution of a script to detect unauthorized user activity.
